Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,Wet_NoWet,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,WeekofYear,Daylight_Hours,Weekly_Tavg,Weekly_WetBulb,Weekly_AvgSpeed,Weekly_Daylight_Hours,Weekly_Tavg_lag1,Weekly_Tavg_lag2,Weekly_Tavg_lag3,Weekly_Tavg_lag4,Weekly_WetBulb_lag1,Weekly_WetBulb_lag2,Weekly_WetBulb_lag3,Weekly_WetBulb_lag4,Weekly_AvgSpeed_lag1,Weekly_AvgSpeed_lag2,Weekly_AvgSpeed_lag3,Weekly_AvgSpeed_lag4,Weekly_Daylight_Hours_lag1,Weekly_Daylight_Hours_lag2,Weekly_Daylight_Hours_lag3,Weekly_Daylight_Hours_lag4
1,2007-05-01,83,50,66.5,51,56.0,0.0,2.0,4.8,18.816666666666666,0,0.0,29.1,29.82,1.7,27,9.2,2007,5,18,14.016666666666666,,,,,,,,,,,,,,,,,,,,
2,2007-05-01,84,52,68.0,51,57.0,0.0,3.0,4.8,18.816666666666666,0,0.0,29.18,29.82,2.7,25,9.6,2007,5,18,14.016666666666666,,,,,,,,,,,,,,,,,,,,
1,2007-05-02,59,42,50.5,42,47.0,14.0,0.0,4.783333333333333,18.833333333333332,1,0.0,29.38,30.09,13.0,4,13.4,2007,5,18,14.049999999999999,,,,,,,,,,,,,,,,,,,,
2,2007-05-02,60,43,51.5,42,47.0,13.0,0.0,4.783333333333333,18.833333333333332,1,0.0,29.44,30.08,13.3,2,13.4,2007,5,18,14.049999999999999,,,,,,,,,,,,,,,,,,,,
1,2007-05-03,66,46,56.0,40,48.0,9.0,0.0,4.766666666666667,18.85,0,0.0,29.39,30.12,11.7,7,11.9,2007,5,18,14.083333333333336,,,,,,,,,,,,,,,,,,,,
2,2007-05-03,67,48,57.5,40,50.0,7.0,0.0,4.75,18.85,0,0.0,29.46,30.12,12.9,6,13.2,2007,5,18,14.100000000000001,,,,,,,,,,,,,,,,,,,,
1,2007-05-04,66,49,57.5,41,50.0,7.0,0.0,4.733333333333333,18.866666666666667,1,0.0,29.31,30.05,10.4,8,10.8,2007,5,18,14.133333333333333,58.214285714285715,50.714285714285715,11.64285714285714,14.064285714285713,,,,,,,,,,,,,,,,
2,2007-05-04,78,51,64.5,42,50.0,0.0,4.0,4.733333333333333,18.866666666666667,0,0.0,29.36,30.04,10.1,7,10.4,2007,5,18,14.133333333333333,57.92857142857143,49.857142857142854,11.814285714285713,14.080952380952379,58.214285714285715,,,,50.714285714285715,,,,11.64285714285714,,,,14.064285714285713,,,
1,2007-05-05,66,53,59.5,38,49.0,5.0,0.0,4.716666666666667,18.883333333333333,0,0.0,29.4,30.1,11.7,7,12.0,2007,5,18,14.166666666666666,56.714285714285715,48.714285714285715,12.157142857142857,14.102380952380951,57.92857142857143,58.214285714285715,,,49.857142857142854,50.714285714285715,,,11.814285714285713,11.64285714285714,,,14.080952380952379,14.064285714285713,,
2,2007-05-05,66,54,60.0,39,50.0,5.0,0.0,4.716666666666667,18.883333333333333,0,0.0,29.46,30.09,11.2,7,11.5,2007,5,18,14.166666666666666,58.07142857142857,49.142857142857146,11.885714285714284,14.119047619047619,56.714285714285715,57.92857142857143,58.214285714285715,,48.714285714285715,49.857142857142854,50.714285714285715,,12.157142857142857,11.814285714285713,11.64285714285714,,14.102380952380951,14.080952380952379,14.064285714285713,
1,2007-05-06,68,49,58.5,30,46.0,6.0,0.0,4.7,18.916666666666668,0,0.0,29.57,30.29,14.4,11,15.0,2007,5,18,14.216666666666669,59.07142857142857,49.0,12.114285714285712,14.142857142857142,58.07142857142857,56.714285714285715,57.92857142857143,58.214285714285715,49.142857142857146,48.714285714285715,49.857142857142854,50.714285714285715,11.885714285714284,12.157142857142857,11.814285714285713,11.64285714285714,14.119047619047619,14.102380952380951,14.080952380952379,14.064285714285713
2,2007-05-06,68,52,60.0,30,46.0,5.0,0.0,4.7,18.9,0,0.0,29.62,30.28,13.8,10,14.5,2007,5,18,14.2,59.642857142857146,48.714285714285715,12.485714285714282,14.15952380952381,59.07142857142857,58.07142857142857,56.714285714285715,57.92857142857143,49.0,49.142857142857146,48.714285714285715,49.857142857142854,12.114285714285712,11.885714285714284,12.157142857142857,11.814285714285713,14.142857142857142,14.119047619047619,14.102380952380951,14.080952380952379
1,2007-05-07,83,47,65.0,41,54.0,0.0,0.0,4.683333333333334,18.933333333333334,1,0.0,29.38,30.12,8.6,18,10.5,2007,5,19,14.25,60.714285714285715,49.285714285714285,12.099999999999996,14.180952380952382,59.642857142857146,59.07142857142857,58.07142857142857,56.714285714285715,48.714285714285715,49.0,49.142857142857146,48.714285714285715,12.485714285714282,12.114285714285712,11.885714285714284,12.157142857142857,14.15952380952381,14.142857142857142,14.119047619047619,14.102380952380951
2,2007-05-07,84,50,67.0,39,53.0,0.0,2.0,4.666666666666667,18.916666666666668,0,0.0,29.44,30.12,8.5,17,9.9,2007,5,19,14.25,62.07142857142857,49.714285714285715,11.97142857142857,14.197619047619051,60.714285714285715,59.642857142857146,59.07142857142857,58.07142857142857,49.285714285714285,48.714285714285715,49.0,49.142857142857146,12.099999999999996,12.485714285714282,12.114285714285712,11.885714285714284,14.180952380952382,14.15952380952381,14.142857142857142,14.119047619047619
1,2007-05-08,82,54,68.0,58,62.0,0.0,3.0,4.65,18.95,1,0.0,29.29,30.03,2.7,11,5.8,2007,5,19,14.299999999999999,62.57142857142857,51.42857142857143,11.314285714285711,14.221428571428573,62.07142857142857,60.714285714285715,59.642857142857146,59.07142857142857,49.714285714285715,49.285714285714285,48.714285714285715,49.0,11.97142857142857,12.099999999999996,12.485714285714282,12.114285714285712,14.197619047619051,14.180952380952382,14.15952380952381,14.142857142857142
2,2007-05-08,80,60,70.0,57,63.0,0.0,5.0,4.65,18.933333333333334,0,0.0,29.36,30.02,2.5,8,5.4,2007,5,19,14.283333333333333,64.07142857142857,53.42857142857143,10.371428571428568,14.238095238095239,62.57142857142857,62.07142857142857,60.714285714285715,59.642857142857146,51.42857142857143,49.714285714285715,49.285714285714285,48.714285714285715,11.314285714285711,11.97142857142857,12.099999999999996,12.485714285714282,14.221428571428573,14.197619047619051,14.180952380952382,14.15952380952381
1,2007-05-09,77,61,69.0,59,63.0,0.0,4.0,4.633333333333333,18.966666666666665,1,0.13,29.21,29.94,3.9,9,6.2,2007,5,19,14.333333333333332,65.35714285714286,55.285714285714285,9.614285714285712,14.261904761904761,64.07142857142857,62.57142857142857,62.07142857142857,60.714285714285715,53.42857142857143,51.42857142857143,49.714285714285715,49.285714285714285,10.371428571428568,11.314285714285711,11.97142857142857,12.099999999999996,14.238095238095239,14.221428571428573,14.197619047619051,14.180952380952382
2,2007-05-09,76,63,69.5,60,63.0,0.0,5.0,4.633333333333333,18.966666666666665,1,0.02,29.28,29.93,3.9,7,5.9,2007,5,19,14.333333333333332,66.92857142857143,57.714285714285715,8.314285714285713,14.278571428571427,65.35714285714286,64.07142857142857,62.57142857142857,62.07142857142857,55.285714285714285,53.42857142857143,51.42857142857143,49.714285714285715,9.614285714285712,10.371428571428568,11.314285714285711,11.97142857142857,14.261904761904761,14.238095238095239,14.221428571428573,14.197619047619051
1,2007-05-10,84,56,70.0,52,60.0,0.0,5.0,4.616666666666667,18.983333333333334,1,0.0,29.2,29.92,0.7,17,4.1,2007,5,19,14.366666666666667,68.35714285714286,59.714285714285715,6.828571428571427,14.302380952380952,66.92857142857143,65.35714285714286,64.07142857142857,62.57142857142857,57.714285714285715,55.285714285714285,53.42857142857143,51.42857142857143,8.314285714285713,9.614285714285712,10.371428571428568,11.314285714285711,14.278571428571427,14.261904761904761,14.238095238095239,14.221428571428573
2,2007-05-10,83,59,71.0,52,61.0,0.0,6.0,4.616666666666667,18.983333333333334,1,0.0,29.26,29.91,2.0,9,3.9,2007,5,19,14.366666666666667,69.21428571428571,60.714285714285715,5.885714285714284,14.319047619047618,68.35714285714286,66.92857142857143,65.35714285714286,64.07142857142857,59.714285714285715,57.714285714285715,55.285714285714285,53.42857142857143,6.828571428571427,8.314285714285713,9.614285714285712,10.371428571428568,14.302380952380952,14.278571428571427,14.261904761904761,14.238095238095239
