,index,Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,Wet_NoWet,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Year,Month,WeekofYear,Daylight_Hours,Tmin_rm7,DewPoint_rm7,Sunrise_rm7,PrecipTotal_rm7,StnPressure_rm7,ResultSpeed_rm7,ResultDir_rm7,Tmin_rm7_lag1,Tmin_rm7_lag2,Tmin_rm7_lag3,Tmin_rm7_lag4,DewPoint_rm7_lag1,DewPoint_rm7_lag2,DewPoint_rm7_lag3,DewPoint_rm7_lag4,Sunrise_rm7_lag1,Sunrise_rm7_lag2,Sunrise_rm7_lag3,Sunrise_rm7_lag4,PrecipTotal_rm7_lag1,PrecipTotal_rm7_lag2,PrecipTotal_rm7_lag3,PrecipTotal_rm7_lag4,StnPressure_rm7_lag1,StnPressure_rm7_lag2,StnPressure_rm7_lag3,StnPressure_rm7_lag4,ResultSpeed_rm7_lag1,ResultSpeed_rm7_lag2,ResultSpeed_rm7_lag3,ResultSpeed_rm7_lag4,ResultDir_rm7_lag1,ResultDir_rm7_lag2,ResultDir_rm7_lag3,ResultDir_rm7_lag4
0,20,1,2007-05-11,70,51,60.5,42,51.0,4.0,0.0,4.6,18.98333333333333,0,0.0,29.33,30.04,11.3,3,12.9,2007,5,19,14.383333333333336,53.0,45.714285714285715,4.6571428571428575,0.018571428571428572,29.34,7.614285714285715,10.857142857142858,52.714285714285715,51.285714285714285,48.57142857142857,48.0,45.57142857142857,43.857142857142854,41.42857142857143,40.42857142857143,4.6761904761904765,4.697619047619048,4.719047619047619,4.740476190476191,0.018571428571428572,0.018571428571428572,0.0,0.0,29.337142857142855,29.364285714285717,29.388571428571428,29.361428571428572,7.485714285714286,9.057142857142857,10.357142857142858,10.214285714285714,11.571428571428571,10.142857142857142,9.428571428571429,11.714285714285714
1,22,1,2007-05-12,64,46,55.0,36,46.0,10.0,0.0,4.583333333333333,19.016666666666666,0,0.0,29.49,30.2,12.4,3,12.9,2007,5,19,14.433333333333334,52.0,45.42857142857143,4.6380952380952385,0.018571428571428572,29.352857142857143,7.714285714285714,10.285714285714286,53.0,52.714285714285715,51.285714285714285,48.57142857142857,45.714285714285715,45.57142857142857,43.857142857142854,41.42857142857143,4.6571428571428575,4.6761904761904765,4.697619047619048,4.719047619047619,0.018571428571428572,0.018571428571428572,0.018571428571428572,0.0,29.34,29.337142857142855,29.364285714285717,29.388571428571428,7.614285714285715,7.485714285714286,9.057142857142857,10.357142857142858,10.857142857142858,11.571428571428571,10.142857142857142,9.428571428571429
2,24,1,2007-05-13,69,43,56.0,33,46.0,9.0,0.0,4.566666666666666,19.03333333333333,0,0.0,29.49,30.24,6.6,14,8.1,2007,5,19,14.466666666666669,51.142857142857146,45.857142857142854,4.6190476190476195,0.018571428571428572,29.34142857142857,6.6000000000000005,10.714285714285714,52.0,53.0,52.714285714285715,51.285714285714285,45.42857142857143,45.714285714285715,45.57142857142857,43.857142857142854,4.6380952380952385,4.6571428571428575,4.6761904761904765,4.697619047619048,0.018571428571428572,0.018571428571428572,0.018571428571428572,0.018571428571428572,29.352857142857143,29.34,29.337142857142855,29.364285714285717,7.714285714285714,7.614285714285715,7.485714285714286,9.057142857142857,10.285714285714286,10.857142857142858,11.571428571428571,10.142857142857142
3,26,1,2007-05-14,90,56,73.0,47,59.0,0.0,8.0,4.55,19.05,0,0.0,29.23,29.97,16.9,21,17.3,2007,5,20,14.5,52.42857142857143,46.714285714285715,4.6000000000000005,0.018571428571428572,29.319999999999997,7.785714285714286,11.142857142857142,51.142857142857146,52.0,53.0,52.714285714285715,45.857142857142854,45.42857142857143,45.714285714285715,45.57142857142857,4.6190476190476195,4.6380952380952385,4.6571428571428575,4.6761904761904765,0.018571428571428572,0.018571428571428572,0.018571428571428572,0.018571428571428572,29.34142857142857,29.352857142857143,29.34,29.337142857142855,6.6000000000000005,7.714285714285714,7.614285714285715,7.485714285714286,10.714285714285714,10.285714285714286,10.857142857142858,11.571428571428571
4,28,1,2007-05-15,80,57,68.5,56,61.0,0.0,4.0,4.533333333333333,19.066666666666663,1,0.38,29.13,29.84,8.1,27,12.3,2007,5,20,14.533333333333331,52.857142857142854,46.42857142857143,4.583333333333334,0.07285714285714286,29.297142857142855,8.557142857142859,13.428571428571429,52.42857142857143,51.142857142857146,52.0,53.0,46.714285714285715,45.857142857142854,45.42857142857143,45.714285714285715,4.6000000000000005,4.6190476190476195,4.6380952380952385,4.6571428571428575,0.018571428571428572,0.018571428571428572,0.018571428571428572,0.018571428571428572,29.319999999999997,29.34142857142857,29.352857142857143,29.34,7.785714285714286,6.6000000000000005,7.714285714285714,7.614285714285715,11.142857142857142,10.714285714285714,10.285714285714286,10.857142857142858
5,30,1,2007-05-16,66,44,55.0,43,48.0,10.0,0.0,4.516666666666667,19.08333333333333,1,0.14,29.33,30.03,7.8,36,12.2,2007,5,20,14.566666666666666,50.42857142857143,44.142857142857146,4.566666666666667,0.07428571428571429,29.314285714285713,9.114285714285714,17.285714285714285,52.857142857142854,52.42857142857143,51.142857142857146,52.0,46.42857142857143,46.714285714285715,45.857142857142854,45.42857142857143,4.583333333333334,4.6000000000000005,4.6190476190476195,4.6380952380952385,0.07285714285714286,0.018571428571428572,0.018571428571428572,0.018571428571428572,29.297142857142855,29.319999999999997,29.34142857142857,29.352857142857143,8.557142857142859,7.785714285714286,6.6000000000000005,7.714285714285714,13.428571428571429,11.142857142857142,10.714285714285714,10.285714285714286
6,32,1,2007-05-17,62,43,52.5,32,43.0,12.0,0.0,4.5,19.1,0,0.0,29.55,30.27,10.5,3,11.3,2007,5,20,14.6,48.57142857142857,41.285714285714285,4.55,0.07428571428571429,29.364285714285717,10.514285714285714,15.285714285714286,50.42857142857143,52.857142857142854,52.42857142857143,51.142857142857146,44.142857142857146,46.42857142857143,46.714285714285715,45.857142857142854,4.566666666666667,4.583333333333334,4.6000000000000005,4.6190476190476195,0.07428571428571429,0.07285714285714286,0.018571428571428572,0.018571428571428572,29.314285714285713,29.297142857142855,29.319999999999997,29.34142857142857,9.114285714285714,8.557142857142859,7.785714285714286,6.6000000000000005,17.285714285714285,13.428571428571429,11.142857142857142,10.714285714285714
7,34,1,2007-05-18,71,42,56.5,30,46.0,8.0,0.0,4.483333333333333,19.116666666666667,0,0.0,29.53,30.25,5.4,25,7.5,2007,5,20,14.633333333333333,47.285714285714285,39.57142857142857,4.533333333333333,0.07428571428571429,29.392857142857142,9.671428571428573,18.428571428571427,48.57142857142857,50.42857142857143,52.857142857142854,52.42857142857143,41.285714285714285,44.142857142857146,46.42857142857143,46.714285714285715,4.55,4.566666666666667,4.583333333333334,4.6000000000000005,0.07428571428571429,0.07428571428571429,0.07285714285714286,0.018571428571428572,29.364285714285717,29.314285714285713,29.297142857142855,29.319999999999997,10.514285714285714,9.114285714285714,8.557142857142859,7.785714285714286,15.285714285714286,17.285714285714285,13.428571428571429,11.142857142857142
8,36,1,2007-05-19,80,56,68.0,39,53.0,0.0,3.0,4.466666666666667,19.133333333333333,0,0.0,29.34,30.08,11.1,24,11.4,2007,5,20,14.666666666666666,48.714285714285715,40.0,4.516666666666667,0.07428571428571429,29.371428571428574,9.485714285714286,21.428571428571427,47.285714285714285,48.57142857142857,50.42857142857143,52.857142857142854,39.57142857142857,41.285714285714285,44.142857142857146,46.42857142857143,4.533333333333333,4.55,4.566666666666667,4.583333333333334,0.07428571428571429,0.07428571428571429,0.07428571428571429,0.07285714285714286,29.392857142857142,29.364285714285717,29.314285714285713,29.297142857142855,9.671428571428573,10.514285714285714,9.114285714285714,8.557142857142859,18.428571428571427,15.285714285714286,17.285714285714285,13.428571428571429
9,38,1,2007-05-20,69,43,56.0,40,44.0,9.0,0.0,4.45,19.15,1,0.07,29.38,30.11,10.4,4,10.7,2007,5,20,14.7,48.714285714285715,41.0,4.5,0.0842857142857143,29.35571428571429,10.028571428571428,20.0,48.714285714285715,47.285714285714285,48.57142857142857,50.42857142857143,40.0,39.57142857142857,41.285714285714285,44.142857142857146,4.516666666666667,4.533333333333333,4.55,4.566666666666667,0.07428571428571429,0.07428571428571429,0.07428571428571429,0.07428571428571429,29.371428571428574,29.392857142857142,29.364285714285717,29.314285714285713,9.485714285714286,9.671428571428573,10.514285714285714,9.114285714285714,21.428571428571427,18.428571428571427,15.285714285714286,17.285714285714285
